Core Number,Sample Number,"Depth, feet","Permeability, millidarcys to Air","Permeability, millidarcys Klinkenberg","Porosity, percent Ambient","Porosity, percent NCS","Grain Density, gm/cc","Fluid Saturations, percent Water","Fluid Saturations, percent Oil","Fluid Saturations, percent Total",Page Number
1,1-32(f),9612.5,0.049,0.03,5.2,5.1,2.75,42.9,29.4,72.3,39
1,1-33(f),9613.4,0.018,0.0093,5.6,5.5,2.76,62.6,11.0,73.6,39
1,1-34(f),9614.5,0.321,0.22,7.4,7.4,2.74,81.1,0.2,81.4,39
1,1-35(f),9615.65,8.42,6.6,5.7,5.7,2.76,55.3,19.8,75.2,39
1,1-36(F),9616.45,+,+,7.3,,2.75,71.4,7.2,78.5,39
1,1-37(f),9617.25,5.63,4.34,6.9,6.9,2.76,62.5,12.2,74.7,39
1,1-38,9618.5,<0.0001,<0.0001,3.1,3.1,2.73,78.9,1.1,79.9,39
1,1-39(F),9619.2,+,+,7.4,,2.75,80.1,0.1,80.2,39
1,1-40(F),9620.9,+,+,6.5,,2.74,97.9,0.6,98.4,39
1,1-41(f),9621.55,0.121,0.082,5.6,5.6,2.75,69.3,6.6,75.9,39
1,1-42,9622.5,0.0006,0.0001,6.0,5.9,2.75,65.4,11.7,77.1,39
1,1-43(f),9623.5,0.026,0.014,6.3,6.3,2.75,79.0,1.3,80.3,39
1,1-44,9624.5,0.0029,0.0009,6.1,6.1,2.72,75.0,1.5,76.4,39
1,1-45,9625.5,<0.0001,<0.0001,3.9,3.9,2.71,74.7,2.2,76.9,39
1,1-46,9626.5,0.0005,0.0001,3.7,3.6,2.69,76.7,2.6,79.3,39
1,1-47(f),9627.5,0.438,0.308,8.5,8.4,2.72,72.3,1.0,73.3,39
1,1-49(f),9629.8,0.062,0.039,5.3,5.3,2.72,51.2,7.4,58.7,39
1,1-50,9630.5,<0.0001,<0.0001,4.0,4.0,2.72,77.5,4.3,81.8,40
1,1-51(f),9631.5,0.895,0.661,7.4,7.4,2.73,67.7,8.4,76.2,40
1,1-52,9632.8,0.0081,0.0035,7.7,7.7,2.72,63.4,11.6,75.0,40
1,1-53,9633.5,0.03,0.017,7.1,7.1,2.72,57.9,18.7,76.7,40
1,1-54,9634.95,<0.0001,<0.0001,5.2,5.2,2.74,78.4,2.2,80.6,40
1,1-55(f),9635.95,0.107,0.072,5.9,5.8,2.73,56.5,13.6,70.2,40
1,1-57(f),9637.4,0.334,0.228,7.5,7.4,2.73,66.5,11.3,77.8,40
